detalle_id,pedido_id,producto_id,cantidad,precio_unitario
1,1,38,3,4941.48
2,2,70,1,31108.11
3,2,4,2,9404.83
4,3,61,2,18784.42
5,3,91,4,13591.79
6,3,73,1,6868.45
7,3,43,1,13240.09
8,4,22,24,11397.32
9,4,80,1,12624.59
10,4,12,1,14015.8
11,5,76,1,8461.35
12,6,71,4,10697.56
13,6,16,1,10752.4
14,7,56,2,11654.7
15,7,27,3,13370.64
16,8,19,1,5814.36
17,8,89,1,2119.66
18,9,76,3,8675.04
19,9,88,1,3580.66
20,9,19,1,5891.87
21,9,99,1,7751.88
22,9,52,4,13979.56
23,10,14,1,7191.97
24,10,35,3,87428.34
25,10,93,1,5133.64
26,11,38,1,4534.23
27,11,26,2,18053.93
28,11,14,3,7860.95
29,12,76,4,8743.61
30,12,11,3,12906.86
31,12,42,2,11512.2
32,13,84,1,17625.32
33,13,36,1,20217.55
34,14,16,1,11200.74
35,15,41,1,22532.44
36,15,2,2,6616.36
37,16,76,2,8777.22
38,16,74,1,16820.43
39,16,55,1,37879.43
40,17,24,1,15164.04
41,17,76,1,8086.34
42,18,48,1,7314.16
43,18,7,1,12127.9
44,18,28,2,8697.11
45,18,86,4,27845.98
46,19,87,1,14801.41
47,19,22,2,10944.14
48,19,88,3,4020.99
49,19,81,24,10305.35
50,20,88,1,3690.73
51,20,74,3,16851.76
52,20,38,2,4867.58
53,21,95,1,60569.88
54,22,17,1,25725.23
55,22,2,1,7098.12
56,22,48,2,7549.87
57,23,71,1,9813.05
58,24,4,3,9363.16
59,24,67,2,23913.97
60,25,17,1,27768.19
61,25,30,1,25968.58
62,26,89,3,2346.96
63,27,29,2,5498.97
64,27,33,1,10940.97
65,28,74,2,17054.11
66,28,67,3,23698.88
67,29,43,1,11832.07
68,29,91,1,14485.49
69,30,27,1,13687.68
70,30,43,1,13218.19
71,31,53,18,16009.05
72,31,38,1,4702.08
73,31,78,1,5958.54
74,31,51,4,9507.34
75,32,29,2,5506.46
76,32,36,1,18561.46
77,32,52,1,14521.79
78,33,2,1,7340.54
79,34,62,1,15430.16
80,34,54,1,26654.28
81,34,55,6,36721.85
82,34,18,6,12130.65
83,35,38,1,5106.25
