movimiento_id,producto_id,fecha,tipo,cantidad
1,1,2023-12-15,Ingreso inicial,159
2,2,2023-12-15,Ingreso inicial,119
3,3,2023-12-15,Ingreso inicial,161
4,4,2023-12-15,Ingreso inicial,232
5,5,2023-12-15,Ingreso inicial,169
6,6,2023-12-15,Ingreso inicial,65
7,7,2023-12-15,Ingreso inicial,152
8,8,2023-12-15,Ingreso inicial,201
9,9,2023-12-15,Ingreso inicial,114
10,10,2023-12-15,Ingreso inicial,122
11,11,2023-12-15,Ingreso inicial,102
12,12,2023-12-15,Ingreso inicial,144
13,13,2023-12-15,Ingreso inicial,105
14,14,2023-12-15,Ingreso inicial,195
15,15,2023-12-15,Ingreso inicial,116
16,16,2023-12-15,Ingreso inicial,181
17,17,2023-12-15,Ingreso inicial,210
18,18,2023-12-15,Ingreso inicial,124
19,19,2023-12-15,Ingreso inicial,145
20,20,2023-12-15,Ingreso inicial,240
21,21,2023-12-15,Ingreso inicial,165
22,22,2023-12-15,Ingreso inicial,233
23,23,2023-12-15,Ingreso inicial,176
24,24,2023-12-15,Ingreso inicial,170
25,25,2023-12-15,Ingreso inicial,129
26,26,2023-12-15,Ingreso inicial,242
27,27,2023-12-15,Ingreso inicial,274
28,28,2023-12-15,Ingreso inicial,143
29,29,2023-12-15,Ingreso inicial,160
30,30,2023-12-15,Ingreso inicial,278
31,31,2023-12-15,Ingreso inicial,199
32,32,2023-12-15,Ingreso inicial,220
33,33,2023-12-15,Ingreso inicial,120
34,34,2023-12-15,Ingreso inicial,253
35,35,2023-12-15,Ingreso inicial,106
36,36,2023-12-15,Ingreso inicial,143
37,37,2023-12-15,Ingreso inicial,236
38,38,2023-12-15,Ingreso inicial,218
39,39,2023-12-15,Ingreso inicial,80
40,40,2023-12-15,Ingreso inicial,198
41,41,2023-12-15,Ingreso inicial,89
42,42,2023-12-15,Ingreso inicial,137
43,43,2023-12-15,Ingreso inicial,158
44,44,2023-12-15,Ingreso inicial,146
45,45,2023-12-15,Ingreso inicial,178
46,46,2023-12-15,Ingreso inicial,165
47,47,2023-12-15,Ingreso inicial,87
48,48,2023-12-15,Ingreso inicial,156
49,49,2023-12-15,Ingreso inicial,122
50,50,2023-12-15,Ingreso inicial,62
51,51,2023-12-15,Ingreso inicial,109
52,52,2023-12-15,Ingreso inicial,68
53,53,2023-12-15,Ingreso inicial,64
54,54,2023-12-15,Ingreso inicial,126
55,55,2023-12-15,Ingreso inicial,241
56,56,2023-12-15,Ingreso inicial,206
57,57,2023-12-15,Ingreso inicial,136
58,58,2023-12-15,Ingreso inicial,81
59,59,2023-12-15,Ingreso inicial,163
60,60,2023-12-15,Ingreso inicial,85
61,61,2023-12-15,Ingreso inicial,96
62,62,2023-12-15,Ingreso inicial,131
63,63,2023-12-15,Ingreso inicial,229
64,64,2023-12-15,Ingreso inicial,127
65,65,2023-12-15,Ingreso inicial,225
66,66,2023-12-15,Ingreso inicial,153
67,67,2023-12-15,Ingreso inicial,292
68,68,2023-12-15,Ingreso inicial,189
69,69,2023-12-15,Ingreso inicial,122
