pago_id,pedido_id,fecha_pago,monto,metodo_pago,estado
1,1,2024-03-07,14824.44,Mercado Pago,Aprobado
2,2,2024-07-13,49917.77,Tarjeta credito,Aprobado
3,3,2024-11-19,112044.54,Tarjeta credito,Aprobado
4,4,2026-06-25,300176.07,Mercado Pago,Aprobado
5,5,2025-09-09,8461.35,Tarjeta credito,Aprobado
6,6,2025-11-14,53542.64,Tarjeta debito,Aprobado
7,7,2024-01-14,0.0,Efectivo,Rechazado
8,8,2024-03-02,7934.02,Tarjeta credito,Aprobado
9,9,2026-06-18,99167.77,Tarjeta credito,Aprobado
10,10,2024-12-07,0.0,Efectivo,Rechazado
11,11,2024-07-08,0.0,Tarjeta credito,Rechazado
12,12,2024-07-28,96719.42,Mercado Pago,Aprobado
13,13,2025-04-23,37842.87,Transferencia,Aprobado
14,14,2025-10-15,11200.74,Transferencia,Aprobado
15,15,2025-03-11,35765.16,Mercado Pago,Aprobado
16,16,2026-05-24,72254.3,Tarjeta debito,Aprobado
17,17,2024-11-12,23250.38,Tarjeta credito,Aprobado
18,18,2024-07-16,148220.2,Tarjeta debito,Aprobado
19,19,2026-01-30,296081.06,Transferencia,Aprobado
20,20,2024-06-17,63981.17,Tarjeta debito,Aprobado
21,21,2025-12-06,60569.88,Mercado Pago,Aprobado
22,22,2025-11-23,47923.09,Tarjeta credito,Aprobado
23,23,2026-05-14,0.0,Tarjeta credito,Rechazado
24,24,2024-03-23,75917.42,Transferencia,Aprobado
25,25,2025-08-26,53736.77,Transferencia,Aprobado
26,26,2025-12-18,7040.88,Efectivo,Aprobado
27,27,2025-11-04,21938.91,Mercado Pago,Aprobado
28,28,2026-04-13,105204.86,Mercado Pago,Aprobado
29,29,2025-10-02,26317.56,Tarjeta credito,Aprobado
30,30,2024-01-10,26905.87,Efectivo,Aprobado
31,31,2026-02-18,336852.88,Tarjeta debito,Aprobado
32,32,2026-08-21,44096.17,Mercado Pago,Aprobado
33,33,2026-08-05,0.0,Tarjeta credito,Rechazado
34,34,2026-06-13,335199.44,Efectivo,Aprobado
35,35,2026-07-15,16958.83,Efectivo,Aprobado
36,36,2024-05-10,90112.44,tarjeta credito,Aprobado
37,37,2025-07-08,9758.24,Tarjeta credito,Aprobado
38,38,2026-01-08,0.0,Transferencia,Rechazado
39,39,2024-12-08,40655.52,Mercado Pago,Aprobado
40,40,2024-08-16,56538.81,Tarjeta credito,Aprobado
41,41,2025-08-10,31065.41,Transferencia,Pendiente
42,42,2025-08-29,23017.62,Efectivo,Aprobado
43,43,2025-12-20,9287.45,Transferencia,Aprobado
44,44,2025-05-21,8895.75,Tarjeta credito,Aprobado
45,45,2026-05-21,104043.52,Tarjeta credito,Aprobado
46,46,2024-10-17,9325.74,Tarjeta credito,Aprobado
47,47,2024-11-09,17013.96,Mercado Pago,Aprobado
48,48,2026-02-05,42493.26,Mercado Pago,Aprobado
49,49,2024-04-10,15944.65,Mercado Pago,Pendiente
