pedido_id,cliente_id,fecha,estado,canal_venta
1,889,2024-03-05,Completado,App
2,948,2024-07-13,Completado,Tienda fisica
3,250,2024-11-19,Completado,Tienda fisica
4,309,2026-06-25,Completado,WhatsApp
5,628,2025-09-06,Completado,Marketplace
6,357,2025-11-13,Completado,Tienda fisica
7,634,2024-01-14,Cancelado,Web
8,534,2024-03-02,Completado,Web
9,291,2026-06-17,Completado,App
10,238,2024-12-05,Completado,Marketplace
11,3,2024-07-06,Cancelado,Web
12,198,2024-07-28,Completado,App
13,702,2025-04-23,Completado,Web
14,858,2025-10-12,Completado,WhatsApp
15,729,2025-03-08,Completado,App
16,919,2026-05-24,Completado,Tienda fisica
17,407,2024-11-09,Completado,Web
18,858,2024-07-13,Completado,Web
19,507,2026-01-30,Completado,Tienda fisica
20,469,2024-06-15,Completado,Marketplace
21,66,2025-12-06,Completado,Tienda fisica
22,661,2025-11-23,Completado,Tienda fisica
23,117,2026-05-11,Completado,App
24,246,2024-03-23,Completado,App
25,425,2025-08-23,Cancelado,App
26,992,2025-12-16,Completado,Web
27,450,2025-11-01,Completado,Web
28,214,2026-04-13,Completado,App
29,637,2025-10-01,Completado,Web
30,760,2024-01-10,Completado,Tienda fisica
31,504,2026-02-18,Completado,Tienda fisica
32,412,2026-08-21,Completado ,WhatsApp
33,603,2026-08-05,Cancelado,Web
34,804,2026-06-13,Completado,Tienda fisica
35,400,2026-07-15,Completado,App
36,122,2024-05-10,Completado,WhatsApp
37,236,2025-07-07,Completado,Tienda fisica
38,494,2026-01-06,Cancelado,Web
39,948,2024-12-06,Completado,Tienda fisica
40,315,2024-08-16,Completado,Web
41,854,2025-08-09,Pendiente,TIENDA FISICA
42,409,2025-08-27,Completado,Tienda fisica
43,338,2025-12-20,Completado,App
44,970,2025-05-21,Completado,App
45,14,2026-05-18,Completado,Tienda fisica
46,943,2024-10-16,Completado,Tienda fisica
47,179,2024-11-07,Completado,App
48,652,2026-02-05,Completado,Marketplace
49,509,2024-04-08,Pendiente,Web
50,119,2025-02-17,Completado,Web
51,10,2025-10-30,Completado,Web
52,675,2025-08-09,Completado,Tienda fisica
53,119,2024-11-01,Completado,Marketplace
54,816,2026-04-17,Completado,Tienda fisica
55,849,2026-07-08,Completado,Web
56,173,2025-08-11,Completado,Marketplace
57,956,2024-09-11,Completado,App
58,928,2025-12-12,En preparacion,Tienda fisica
59,236,2024-02-15,Completado,App
60,729,2025-01-02,Completado,Tienda fisica
