id_venta,fecha,cliente_id,producto_id,cantidad
1,2026-03-20,109,2,4
2,2026-01-28,105,2,4
3,2026-05-24,103,2,4
4,2026-01-12,106,1,5
5,2026-04-06,104,2,3
6,2026-06-22,102,4,1
7,2026-04-02,105,3,1
8,2026-03-10,106,3,3
9,2026-04-30,103,2,3
10,2026-03-19,106,3,5
11,2026-05-14,109,1,1
12,2026-04-04,104,3,1
13,2026-02-11,108,5,4
14,2026-06-28,107,2,4
15,2026-08-21,109,2,4
16,2026-06-22,107,4,3
17,2026-08-20,106,4,5
18,2026-03-27,104,1,4
19,2026-01-18,108,4,4
20,2026-07-12,104,3,3
21,2026-01-07,107,3,3
22,2026-04-07,105,3,3
23,2026-05-03,107,3,2
24,2026-08-09,103,1,3
25,2026-06-20,102,2,5
26,2026-06-30,105,5,2
27,2026-07-28,105,2,5
28,2026-05-23,106,5,5
29,2026-05-18,105,2,1
30,2026-03-25,108,3,1
31,2026-05-03,108,4,1
32,2026-04-27,103,5,2
33,2026-07-07,108,2,3
34,2026-04-08,110,1,1
35,2026-05-28,104,3,1
36,2026-03-20,102,3,2
37,2026-05-21,102,3,5
38,2026-04-20,102,4,1
39,2026-05-12,110,1,4
40,2026-08-14,109,5,2
41,2026-01-09,109,3,2
42,2026-04-11,102,2,3
43,2026-04-07,106,2,2
44,2026-08-05,106,5,3
45,2026-07-19,102,5,4
46,2026-05-11,103,3,3
47,2026-08-13,105,2,3
48,2026-01-15,103,2,3
49,2026-05-27,109,3,4
50,2026-04-13,108,4,1
51,2026-06-16,105,1,4
52,2026-08-19,104,1,3
53,2026-05-03,107,3,3
54,2026-07-09,103,1,4
55,2026-02-13,109,4,3
56,2026-03-22,107,4,3
57,2026-03-05,109,2,4
58,2026-08-15,107,5,4
59,2026-07-31,102,3,3
60,2026-01-23,106,5,3
61,2026-06-20,110,2,3
62,2026-01-04,102,1,5
63,2026-05-05,110,5,5
64,2026-08-06,107,5,3
65,2026-05-25,103,1,1
66,2026-04-01,103,1,4
67,2026-05-04,107,3,3
68,2026-05-23,109,4,5
69,2026-08-30,103,5,1
70,2026-04-01,101,4,4
71,2026-01-11,103,3,4
72,2026-04-06,103,4,2
73,2026-01-07,105,5,4
74,2026-07-24,109,1,3
75,2026-02-23,102,1,3
76,2026-02-03,107,1,2
77,2026-07-30,105,4,4
78,2026-07-25,101,4,1
79,2026-01-23,101,4,4
80,2026-04-01,109,4,5
81,2026-05-15,105,1,3
82,2026-07-18,105,3,1
83,2026-08-27,101,3,4
84,2026-05-25,105,4,2
85,2026-05-24,104,1,4
86,2026-03-09,101,4,3
87,2026-06-06,106,1,3
88,2026-01-31,110,2,4
89,2026-06-04,109,3,4
90,2026-06-21,109,5,2
91,2026-02-05,106,5,5
92,2026-02-18,104,5,2
93,2026-04-24,101,3,2
94,2026-07-17,102,2,3
95,2026-08-30,110,2,1
96,2026-05-25,103,2,4
97,2026-08-22,107,3,4
98,2026-01-17,104,4,1
99,2026-08-06,103,5,4
100,2026-06-21,109,3,3
101,2026-05-20,106,2,2
102,2026-04-06,105,1,1
103,2026-02-06,109,4,2
104,2026-04-07,103,3,2
105,2026-06-24,107,5,4
106,2026-06-13,102,5,1
107,2026-05-26,107,4,3
108,2026-03-14,103,3,1
109,2026-05-27,102,2,3
110,2026-07-12,104,5,4
111,2026-01-13,110,2,4
112,2026-08-16,102,1,4
113,2026-07-07,104,1,3
114,2026-03-04,104,1,4
115,2026-05-23,105,1,5
116,2026-05-25,107,5,2
117,2026-05-15,103,1,1
118,2026-08-25,101,3,5
119,2026-01-22,108,5,3
120,2026-01-31,106,1,3
121,2026-08-05,109,1,4
122,2026-08-08,105,1,1
123,2026-04-11,101,2,2
124,2026-03-15,102,5,3
125,2026-02-04,105,4,1
126,2026-05-07,101,2,5
127,2026-05-16,106,1,2
128,2026-08-24,107,4,2
129,2026-07-04,102,4,3
130,2026-05-20,101,3,4
131,2026-04-30,110,4,4
132,2026-04-23,107,4,1
133,2026-05-12,108,5,2
134,2026-07-03,105,5,1
135,2026-01-26,109,5,5
136,2026-01-09,104,3,3
137,2026-04-10,102,3,1
138,2026-07-31,101,4,1
139,2026-04-17,105,5,3
140,2026-02-28,109,5,5
141,2026-07-23,102,3,3
142,2026-05-18,106,4,3
143,2026-05-08,105,4,5
144,2026-02-24,109,1,5
145,2026-03-08,110,5,2
146,2026-06-08,103,3,5
147,2026-08-05,101,4,4
148,2026-08-24,109,3,1
149,2026-02-12,106,5,3
150,2026-03-27,102,3,3
151,2026-04-06,102,1,3
152,2026-06-11,105,2,4
153,2026-08-14,102,3,2
154,2026-06-26,101,3,3
155,2026-04-07,102,4,1
156,2026-04-04,106,5,5
157,2026-08-09,108,3,5
158,2026-07-28,108,5,2
159,2026-08-14,106,2,1
160,2026-03-07,101,2,2
161,2026-04-19,101,4,3
162,2026-01-29,110,3,2
163,2026-06-05,102,4,5
164,2026-04-05,104,2,4
165,2026-05-16,107,4,2
166,2026-06-23,104,5,4
167,2026-03-02,110,1,2
168,2026-06-22,108,1,5
169,2026-08-04,104,5,3
170,2026-01-29,105,1,4
171,2026-01-05,103,1,5
172,2026-03-05,106,5,3
173,2026-01-17,104,5,2
174,2026-08-16,106,4,1
175,2026-06-11,109,2,2
176,2026-04-14,105,2,1
177,2026-06-13,108,3,5
178,2026-08-04,101,3,2
179,2026-02-19,106,4,5
180,2026-06-15,109,2,2
181,2026-03-31,101,4,2
182,2026-01-19,108,5,2
183,2026-01-26,104,1,3
184,2026-02-02,101,4,5
185,2026-02-08,102,4,4
186,2026-08-16,109,5,4
187,2026-05-31,102,5,2
188,2026-06-05,107,4,4
189,2026-08-02,104,5,2
190,2026-03-23,110,2,4
191,2026-05-01,109,4,4
192,2026-03-14,110,5,2
193,2026-04-16,103,2,5
194,2026-03-28,109,1,3
195,2026-03-13,109,2,1
196,2026-03-09,101,3,3
197,2026-01-26,109,1,1
198,2026-04-07,106,2,3
199,2026-03-06,107,4,1
200,2026-05-04,105,1,4
201,2026-04-11,107,4,1
202,2026-01-03,109,2,4
203,2026-07-26,110,4,5
204,2026-02-13,107,1,2
205,2026-07-14,105,5,3
206,2026-03-18,102,1,2
207,2026-01-15,101,2,5
208,2026-03-21,107,4,2
209,2026-08-13,103,3,2
210,2026-01-04,105,3,4
211,2026-05-29,102,4,3
212,2026-07-27,102,5,3
213,2026-08-30,110,1,1
214,2026-06-22,106,1,2
215,2026-08-08,105,3,5
216,2026-04-06,106,5,5
217,2026-02-17,104,1,2
218,2026-04-14,102,2,4
219,2026-06-29,108,2,1
220,2026-01-04,108,1,1
221,2026-05-11,105,4,1
222,2026-08-30,106,2,3
223,2026-04-25,104,5,5
224,2026-07-08,102,2,1
225,2026-04-09,102,5,3
226,2026-01-14,110,2,4
227,2026-05-03,108,3,3
228,2026-07-07,109,2,4
229,2026-08-07,107,2,5
230,2026-08-03,103,3,5
231,2026-01-22,109,1,3
232,2026-08-04,107,4,3
233,2026-03-27,108,5,5
234,2026-04-08,108,1,1
235,2026-08-10,104,2,1
236,2026-05-07,104,3,1
237,2026-08-25,108,3,3
238,2026-07-16,108,3,5
239,2026-07-17,103,5,5
240,2026-07-29,106,3,2
241,2026-05-05,109,5,1
242,2026-07-24,106,5,5
243,2026-05-29,110,3,5
244,2026-04-15,102,1,3
245,2026-04-10,102,3,5
246,2026-06-20,102,5,3
247,2026-02-19,110,1,2
248,2026-08-15,110,3,1
249,2026-03-01,105,3,1
250,2026-04-07,104,5,3
251,2026-08-17,110,3,1
252,2026-04-09,101,5,3
253,2026-01-11,102,3,1
254,2026-04-07,104,2,2
255,2026-07-16,102,5,1
256,2026-07-14,106,3,4
257,2026-04-05,102,5,4
258,2026-02-07,107,4,5
259,2026-03-14,102,4,1
260,2026-07-28,109,1,4
261,2026-03-31,107,1,4
262,2026-04-11,105,2,3
263,2026-08-27,103,3,5
264,2026-03-05,104,2,1
265,2026-06-15,108,3,5
266,2026-05-25,103,1,2
267,2026-01-18,106,2,1
268,2026-08-15,104,3,5
269,2026-06-10,108,5,2
270,2026-07-20,106,5,1
271,2026-02-08,108,5,2
272,2026-06-28,105,3,3
273,2026-05-11,107,4,4
274,2026-08-08,107,4,2
275,2026-07-07,109,3,5
276,2026-02-05,106,4,1
277,2026-05-02,109,5,1
278,2026-06-16,106,1,3
279,2026-01-06,101,2,4
280,2026-04-28,107,5,3
281,2026-01-02,109,5,1
282,2026-07-05,104,2,3
283,2026-04-05,101,2,1
284,2026-01-08,103,3,1
285,2026-07-05,104,5,4
286,2026-03-28,108,1,2
287,2026-06-05,101,4,5
288,2026-02-02,109,1,1
289,2026-07-03,110,2,1
290,2026-03-26,106,2,1
291,2026-01-07,102,2,2
292,2026-02-03,103,2,4
293,2026-01-04,110,5,4
294,2026-01-11,104,2,1
295,2026-08-14,103,2,1
296,2026-06-07,104,1,4
297,2026-01-27,110,1,4
298,2026-01-24,109,2,4
299,2026-07-02,110,2,3
300,2026-01-30,105,2,5
301,2026-01-11,110,4,2
302,2026-07-08,101,1,3
303,2026-04-21,101,4,4
304,2026-05-21,110,5,4
305,2026-08-27,104,3,3
306,2026-01-13,104,1,1
307,2026-01-13,108,3,2
308,2026-05-21,108,1,2
309,2026-02-07,104,3,5
310,2026-01-14,110,3,4
311,2026-06-10,104,1,2
312,2026-07-16,102,4,2
313,2026-07-27,108,3,1
314,2026-08-29,108,4,4
315,2026-05-15,108,5,5
316,2026-04-26,101,5,5
317,2026-04-11,109,5,2
318,2026-02-17,107,5,3
319,2026-04-27,103,4,2
320,2026-05-23,105,5,5
321,2026-03-22,101,3,2
322,2026-07-06,101,1,3
323,2026-01-27,108,5,4
324,2026-05-21,105,1,3
325,2026-07-11,107,2,2
326,2026-02-20,106,4,3
327,2026-02-16,104,5,2
328,2026-02-24,109,2,4
329,2026-01-14,109,2,4
330,2026-08-26,110,2,5
331,2026-03-17,104,3,4
332,2026-04-07,101,3,3
333,2026-02-06,103,4,2
334,2026-07-25,104,3,4
335,2026-05-29,102,1,1
336,2026-04-21,103,4,3
337,2026-08-02,107,1,5
338,2026-05-15,108,5,3
339,2026-07-12,104,2,4
340,2026-06-11,109,4,1
341,2026-01-28,107,4,4
342,2026-03-19,107,2,3
343,2026-06-04,105,2,5
344,2026-04-02,103,3,5
345,2026-07-21,102,3,2
346,2026-02-16,110,4,3
347,2026-05-02,104,1,1
348,2026-07-07,104,5,1
349,2026-08-09,107,5,3
350,2026-07-28,110,3,5
351,2026-07-07,107,2,4
352,2026-04-30,102,5,4
353,2026-08-09,108,2,5
354,2026-02-21,106,2,1
355,2026-04-07,105,4,1
356,2026-04-01,101,1,3
357,2026-05-23,109,1,3
358,2026-08-16,107,2,1
359,2026-05-23,103,3,2
360,2026-08-13,107,2,1
361,2026-01-25,106,1,3
362,2026-06-27,102,3,1
363,2026-02-08,108,2,2
364,2026-03-14,103,4,2
365,2026-04-13,110,2,4
366,2026-02-19,103,3,4
367,2026-07-03,106,4,3
368,2026-02-11,109,4,5
369,2026-06-12,106,1,4
370,2026-05-19,109,1,5
371,2026-07-18,107,5,5
372,2026-06-20,110,5,4
373,2026-02-25,104,5,1
374,2026-04-08,102,3,3
375,2026-02-09,105,1,5
376,2026-08-11,105,1,2
377,2026-07-10,103,1,3
378,2026-03-31,101,1,5
379,2026-07-05,107,2,3
380,2026-04-28,110,4,1
381,2026-07-26,101,5,4
382,2026-05-13,101,3,4
383,2026-04-30,110,1,1
384,2026-07-01,107,4,5
385,2026-06-17,108,5,5
386,2026-06-14,102,3,5
387,2026-01-04,110,3,2
388,2026-05-07,105,5,3
389,2026-01-08,110,3,1
390,2026-03-26,103,4,3
391,2026-04-06,102,2,2
392,2026-04-27,106,1,4
393,2026-06-16,110,5,2
394,2026-07-22,103,3,5
395,2026-02-27,106,4,3
396,2026-04-21,104,2,2
397,2026-01-12,110,1,5
398,2026-08-18,103,1,3
399,2026-01-03,103,2,1
400,2026-01-07,108,2,2
401,2026-08-28,101,5,3
402,2026-08-09,102,2,4
403,2026-06-01,106,4,3
404,2026-02-23,103,3,5
405,2026-02-07,109,4,2
406,2026-05-12,102,4,4
407,2026-04-21,107,2,2
408,2026-07-05,108,1,5
409,2026-08-11,109,4,4
410,2026-07-21,104,2,1
411,2026-05-13,102,5,4
412,2026-05-22,107,2,2
413,2026-07-18,104,1,5
414,2026-06-16,101,5,4
415,2026-02-24,104,3,5
416,2026-06-06,106,2,3
417,2026-01-04,104,5,4
418,2026-06-12,108,4,3
419,2026-03-07,106,1,4
420,2026-05-23,105,3,4
421,2026-05-19,101,4,4
422,2026-08-20,102,2,4
423,2026-04-08,105,3,2
424,2026-04-25,102,3,3
425,2026-06-02,104,2,2
426,2026-01-02,106,1,3
427,2026-04-21,110,2,3
428,2026-08-17,104,2,2
429,2026-08-30,109,4,2
430,2026-03-30,105,3,5
431,2026-01-19,105,1,2
432,2026-03-20,108,2,2
433,2026-08-09,105,2,4
434,2026-01-21,106,3,1
435,2026-03-06,105,3,1
436,2026-05-04,104,3,3
437,2026-01-14,102,3,4
438,2026-04-23,106,5,1
439,2026-05-16,109,3,2
440,2026-05-05,108,2,2
441,2026-08-10,103,2,3
442,2026-03-09,108,1,2
443,2026-06-06,107,4,2
444,2026-01-16,104,3,4
445,2026-03-31,107,4,4
446,2026-02-01,101,4,3
447,2026-01-23,107,1,3
448,2026-01-06,106,3,5
449,2026-06-01,109,5,3
450,2026-02-02,104,4,5
451,2026-04-16,110,4,2
452,2026-02-25,103,4,4
453,2026-08-28,107,4,5
454,2026-04-19,106,4,3
455,2026-08-11,103,4,2
456,2026-03-15,107,5,4
457,2026-01-25,107,5,4
458,2026-02-04,108,5,2
459,2026-08-28,103,2,1
460,2026-06-27,109,4,1
461,2026-02-28,105,1,4
462,2026-03-25,101,5,1
463,2026-05-21,104,2,3
464,2026-08-14,108,1,1
465,2026-07-12,108,5,4
466,2026-05-19,102,2,3
467,2026-06-20,105,3,2
468,2026-07-11,101,2,5
469,2026-07-10,107,4,4
470,2026-03-06,104,4,4
471,2026-05-24,104,5,5
472,2026-06-12,102,4,2
473,2026-07-19,101,1,1
474,2026-08-10,108,1,2
475,2026-03-21,106,2,2
476,2026-05-23,104,5,1
477,2026-02-08,110,2,5
478,2026-04-05,101,2,3
479,2026-01-06,106,1,1
480,2026-02-01,101,4,3
481,2026-04-30,106,1,5
482,2026-03-19,104,2,1
483,2026-02-27,109,4,5
484,2026-04-10,109,4,5
485,2026-04-06,104,1,3
486,2026-06-07,109,5,1
487,2026-04-07,108,4,2
488,2026-08-21,108,2,5
489,2026-02-17,103,1,5
490,2026-08-13,101,1,2
491,2026-01-25,103,4,3
492,2026-01-03,106,1,3
493,2026-05-20,105,4,5
494,2026-04-18,107,1,3
495,2026-06-17,105,3,5
496,2026-03-03,106,3,5
497,2026-07-06,109,2,5
498,2026-05-03,110,1,2
499,2026-06-27,104,2,3
500,2026-06-12,109,2,2
501,2026-07-18,105,2,3
502,2026-04-14,101,2,1
503,2026-06-26,106,3,3
504,2026-08-03,105,2,3
505,2026-01-03,106,4,3
506,2026-07-30,105,4,1
507,2026-04-20,108,2,1
508,2026-07-05,107,3,3
509,2026-01-21,107,5,2
510,2026-06-04,104,2,3
511,2026-03-13,101,3,5
512,2026-08-14,104,1,3
513,2026-05-17,104,1,2
514,2026-07-03,106,3,1
515,2026-01-27,103,3,4
516,2026-04-19,110,4,1
517,2026-05-01,106,1,2
518,2026-01-19,110,5,4
519,2026-03-10,103,2,3
520,2026-06-28,103,5,5
521,2026-03-10,109,1,1
522,2026-05-11,110,1,3
523,2026-02-11,107,3,3
524,2026-01-24,110,4,4
525,2026-07-18,109,4,5
526,2026-06-14,105,3,5
527,2026-03-14,107,4,5
528,2026-06-12,109,4,3
529,2026-07-13,107,1,1
530,2026-07-26,105,4,1
531,2026-04-03,107,2,2
532,2026-01-09,110,3,1
533,2026-02-18,103,4,1
534,2026-02-04,101,2,5
535,2026-01-17,104,5,4
536,2026-06-01,102,4,2
537,2026-06-04,102,4,4
538,2026-07-21,101,5,2
539,2026-08-17,101,4,5
540,2026-03-23,110,3,2
541,2026-05-05,106,3,2
542,2026-04-23,106,4,4
543,2026-05-09,107,5,1
544,2026-07-03,108,3,4
545,2026-03-06,105,1,1
546,2026-07-03,101,2,2
547,2026-01-02,102,2,4
548,2026-02-05,109,5,1
549,2026-08-29,107,2,4
550,2026-03-04,101,1,1
551,2026-06-08,104,3,1
552,2026-06-30,101,3,3
553,2026-03-21,109,5,3
554,2026-02-07,107,4,5
555,2026-01-17,101,2,2
556,2026-07-28,108,3,5
557,2026-06-20,109,1,5
558,2026-02-10,101,5,5
559,2026-06-16,102,5,3
560,2026-07-25,103,3,4
561,2026-08-17,106,1,1
562,2026-06-28,106,1,4
563,2026-08-01,105,2,4
564,2026-08-22,102,5,2
565,2026-07-08,101,2,2
566,2026-05-28,106,3,1
567,2026-06-28,107,3,1
568,2026-01-14,104,2,5
569,2026-07-16,108,5,3
570,2026-04-08,105,5,1
571,2026-08-23,103,3,5
572,2026-03-10,108,1,4
573,2026-05-11,109,1,3
574,2026-04-18,101,5,3
575,2026-03-10,110,2,4
576,2026-08-01,104,3,4
577,2026-07-04,106,1,4
578,2026-02-15,101,1,4
579,2026-02-01,101,4,5
580,2026-06-07,101,2,1
581,2026-04-06,104,3,4
582,2026-08-17,103,4,5
583,2026-03-08,110,1,2
584,2026-07-31,102,4,1
585,2026-08-02,104,5,2
586,2026-01-25,104,5,2
587,2026-02-15,109,1,5
588,2026-08-12,103,2,5
589,2026-06-26,103,5,3
590,2026-05-19,101,2,2
591,2026-06-04,107,2,2
592,2026-07-17,103,4,1
593,2026-02-03,106,1,1
594,2026-03-26,110,5,5
595,2026-03-24,108,2,2
596,2026-02-05,103,4,5
597,2026-03-29,103,4,5
598,2026-08-28,107,3,3
599,2026-06-04,108,1,4
600,2026-05-30,103,2,5
601,2026-01-22,109,5,1
602,2026-08-15,102,5,1
603,2026-08-30,107,1,4
604,2026-01-22,108,1,5
605,2026-08-11,107,1,1
606,2026-02-14,103,3,5
607,2026-04-05,107,5,5
608,2026-06-05,110,5,1
609,2026-03-11,101,3,4
610,2026-05-26,107,5,5
611,2026-02-04,103,4,3
612,2026-03-04,105,5,3
613,2026-06-26,106,2,4
614,2026-02-10,110,4,2
615,2026-02-28,107,4,5
616,2026-05-10,110,2,5
617,2026-01-14,108,3,1
618,2026-04-09,103,3,1
619,2026-02-14,103,4,5
620,2026-04-04,104,3,2
621,2026-07-28,108,5,4
622,2026-04-23,107,1,5
623,2026-02-20,110,4,1
624,2026-07-24,106,1,4
625,2026-02-15,106,1,4
626,2026-02-07,104,1,3
627,2026-03-01,104,3,5
